;PC1;PC2;PC3;labels;markers;Family;Colors
0;2.266838;-2.7600827;-0.75921965;6HIO[A-E];circle;5HT3R;rgb(239, 255, 0)
1;1.883732;-2.8041508;-0.45401025;6HIO[E-D];circle;5HT3R;rgb(239, 255, 0)
2;1.9881704;-2.6718566;-0.41584355;6HIO[D-C];circle;5HT3R;rgb(239, 255, 0)
3;0.79468894;-3.222256;-0.46465552;6HIO[C-B];circle;5HT3R;rgb(239, 255, 0)
4;0.39721963;-3.6864219;-0.6823703;6HIO[B-A];circle;5HT3R;rgb(239, 255, 0)
5;3.0186405;-4.858394;-0.92924994;6HIQ[A-E];circle;5HT3R;rgb(239, 255, 0)
6;3.8346336;-4.441893;-0.9872666;6HIQ[E-D];circle;5HT3R;rgb(239, 255, 0)
7;2.786912;-4.814808;-1.0606936;6HIQ[D-C];circle;5HT3R;rgb(239, 255, 0)
8;3.0094757;-4.865016;-1.2517843;6HIQ[C-B];circle;5HT3R;rgb(239, 255, 0)
9;3.5029812;-4.7121096;-1.4482116;6HIQ[B-A];circle;5HT3R;rgb(239, 255, 0)
10;5.8115454;-6.0339484;-0.09818338;6HIN[A-E];circle;5HT3R;rgb(239, 255, 0)
11;6.0906305;-5.865512;-0.025147287;6HIN[E-D];circle;5HT3R;rgb(239, 255, 0)
12;5.8709493;-6.007046;-0.01326869;6HIN[D-C];circle;5HT3R;rgb(239, 255, 0)
13;5.942877;-5.958016;-0.09065252;6HIN[C-B];circle;5HT3R;rgb(239, 255, 0)
14;6.270716;-5.7963843;-0.023263454;6HIN[B-A];circle;5HT3R;rgb(239, 255, 0)
15;0.90282637;-5.371768;-2.3011768;6HIS[A-E];circle;5HT3R;rgb(239, 255, 0)
16;0.90323746;-5.3629284;-2.3012493;6HIS[E-D];circle;5HT3R;rgb(239, 255, 0)
17;0.8392782;-5.4087033;-2.182169;6HIS[D-C];circle;5HT3R;rgb(239, 255, 0)
18;0.732558;-5.436245;-2.1826441;6HIS[C-B];circle;5HT3R;rgb(239, 255, 0)
19;0.90291286;-5.3762245;-2.123792;6HIS[B-A];circle;5HT3R;rgb(239, 255, 0)
